sample,tool,activeSignatureCount,reconstructionCosine,totalRawFraction,threshold
SP53460,SigProfilerAssignment,3,0.9828612439136527,1,0.01
SP53460,MuSiCal,10,0.9916687274757984,0.9999999999999999,0.01
SP53548,deconstructSigs,17,0.9937553571851582,1,0.01
SP53548,sigminer,16,0.9940622727592078,0.9999999999999999,0.01
SP53548,SigProfilerAssignment,7,0.9903408722468331,1,0.01
SP53548,MuSiCal,11,0.9931843408815555,0.9999999999999998,0.01
SP53618,deconstructSigs,11,0.9945509210823479,1,0.01
SP53618,sigminer,15,0.996616810460628,1,0.01
SP53618,SigProfilerAssignment,2,0.9829011416262504,1,0.01
SP53618,MuSiCal,11,0.9945243165581157,1,0.01
SP53810,deconstructSigs,9,0.9985976983901954,1,0.01
SP53810,sigminer,12,0.9986538254718398,0.9999999999999999,0.01
SP53810,SigProfilerAssignment,2,0.9939584282271301,1,0.01
SP53810,MuSiCal,5,0.9975019374381112,0.9999999999999999,0.01
SP54113,deconstructSigs,15,0.9937438449787523,1,0.01
SP54113,sigminer,17,0.9949079800227215,1,0.01
SP54113,SigProfilerAssignment,5,0.9886516255201947,1,0.01
SP54113,MuSiCal,10,0.9928522089743183,1,0.01
SP54363,deconstructSigs,15,0.9963730672140829,1,0.01
SP54363,sigminer,15,0.996202390580788,0.9999999999999999,0.01
SP54363,SigProfilerAssignment,4,0.9857314066000157,1,0.01
SP54363,MuSiCal,10,0.9938899885832108,1,0.01
SP54745,deconstructSigs,16,0.9980202980142854,1,0.01
SP54745,sigminer,14,0.9973335028336897,1,0.01
SP54745,SigProfilerAssignment,7,0.9963683704048985,1.0000000000000002,0.01
SP54745,MuSiCal,13,0.9981120895678472,1,0.01
SP55004,deconstructSigs,22,0.9810587192634125,1.0000000000000002,0.01
SP55004,sigminer,22,0.9831424785086761,1,0.01
SP55004,SigProfilerAssignment,5,0.9492807392084089,1.0000000000000002,0.01
SP55004,MuSiCal,18,0.9823093005864622,0.9999999999999999,0.01
SP55142,deconstructSigs,16,0.9962771364577016,1.0000000000000002,0.01
SP55142,sigminer,15,0.9961618676731152,1,0.01
SP55142,SigProfilerAssignment,4,0.9886132296110227,1,0.01
SP55142,MuSiCal,10,0.9947014409141028,0.9999999999999999,0.01
SP55235,deconstructSigs,14,0.9963468258244241,1,0.01
SP55235,sigminer,15,0.9962683770420571,1,0.01
SP55235,SigProfilerAssignment,4,0.9872888545525133,1.0000000000000002,0.01
SP55235,MuSiCal,11,0.9956708904070732,1,0.01
SP55309,deconstructSigs,19,0.9894294432438839,0.9999999999999998,0.01
SP55309,sigminer,20,0.9906671995132142,1,0.01
SP55309,SigProfilerAssignment,3,0.9630468462444506,1,0.01
SP55309,MuSiCal,17,0.9893952453744557,1,0.01
SP55387,deconstructSigs,14,0.990874148110067,1,0.01
SP55387,sigminer,16,0.9918381196836534,0.9999999999999999,0.01
SP55387,SigProfilerAssignment,2,0.97254177236237,1,0.01
SP55387,MuSiCal,11,0.9889779842490151,0.9999999999999999,0.01
SP55509,deconstructSigs,12,0.9942033897304788,1,0.01
SP55509,sigminer,12,0.9940035863264217,0.9999999999999997,0.01
SP55509,SigProfilerAssignment,3,0.9816225595981521,1,0.01
SP55509,MuSiCal,8,0.989832622743577,1,0.01
SP55711,deconstructSigs,17,0.9947611260672742,1.0000000000000002,0.01
SP55711,sigminer,18,0.993570948268589,0.9999999999999999,0.01
SP55711,SigProfilerAssignment,5,0.9842884423084507,1,0.01
SP55711,MuSiCal,9,0.9920839789022838,0.9999999999999999,0.01
SP56079,deconstructSigs,13,0.996699485079429,1.0000000000000002,0.01
SP56079,sigminer,15,0.99738767913541,1,0.01
SP56079,SigProfilerAssignment,4,0.9876495276671075,1,0.01
SP56079,MuSiCal,7,0.994937857523514,1,0.01
SP56168,deconstructSigs,10,0.9987876777241372,1.0000000000000002,0.01
SP56168,sigminer,13,0.9988951130847237,0.9999999999999998,0.01
SP56168,SigProfilerAssignment,4,0.9966365302682644,1,0.01
SP56168,MuSiCal,10,0.999133617344578,0.9999999999999999,0.01
SP56303,deconstructSigs,13,0.9961223025974584,1,0.01
SP56303,sigminer,18,0.9968300377105341,1.0000000000000002,0.01
SP56303,SigProfilerAssignment,3,0.9803813890781817,1,0.01
SP56303,MuSiCal,11,0.9960659994298967,0.9999999999999998,0.01
