tool,samples,catalogSignatures,threshold,meanActiveSignatureCount,medianActiveSignatureCount,meanReconstructionCosine,minReconstructionCosine,maxReconstructionCosine
deconstructSigs,38,67,0.01,15.868421052631579,15.5,0.9941129721701107,0.9810587192634125,0.9987876777241372
sigminer,38,67,0.01,17.394736842105264,16.5,0.9944998177264066,0.9831424785086761,0.9988951130847237
SigProfilerAssignment,38,67,0.01,4.131578947368421,4,0.9815360440645999,0.9430312775721329,0.9966365302682644
MuSiCal,38,67,0.01,11.210526315789474,11,0.9930902018446951,0.9823093005864622,0.999133617344578
