toolA,toolB,pair,exposurePearson,meanSampleL1,medianSampleL1,maxSampleL1,meanSampleMaxAbs,meanActiveJaccard
deconstructSigs,sigminer,deconstructSigs vs sigminer,0.9530081648875138,0.34963461257238165,0.32951211218890214,0.7488401009262463,0.09298608474297594,0.6937877360005968
deconstructSigs,SigProfilerAssignment,deconstructSigs vs SigProfilerAssignment,0.8233280922974966,0.8396182909234318,0.7629404501787048,1.4779270797690398,0.29724077311697994,0.19305088543984303
deconstructSigs,MuSiCal,deconstructSigs vs MuSiCal,0.9068844168905795,0.5418880838831723,0.5405154665999056,0.9739383389934826,0.1285841316669718,0.47708248259507186
sigminer,SigProfilerAssignment,sigminer vs SigProfilerAssignment,0.8028476708833358,0.9065567652396586,0.8528991707870844,1.4941449996521368,0.31322895111659116,0.18647266345377767
sigminer,MuSiCal,sigminer vs MuSiCal,0.9369052497483351,0.4357513892158796,0.3939989893634934,1.0782872003098334,0.10329259350300124,0.5654776846746795
SigProfilerAssignment,MuSiCal,SigProfilerAssignment vs MuSiCal,0.8142956038737746,0.8011684446263829,0.8182778135759359,1.3468474083174335,0.2890163704746995,0.2904272820131546
