tool,samples,meanExposureCosineVsMsigSDK,medianExposureCosineVsMsigSDK,minExposureCosineVsMsigSDK,topSignatureAgreementCount,topSignatureMismatchCount,meanReconstructionCosine
deconstructSigs,38,0.9969815327193795,0.9978707554838591,0.9877900239711915,36,2,0.9819048644159422
SigProfilerAssignment,38,0.9072736196080771,0.9372931330851056,0.556166283382794,29,9,0.973804970592075
MuSiCal,38,0.9734572743946809,0.9967539108495763,0.8551095464301346,37,1,0.9814736558815317
