sample,msigsdk_top_signature,deconstructsigs_top_signature,sigprofilerassignment_top_signature,musical_top_signature,high_ambiguity_signatures_in_compared_tops,musical_disagrees_with_msigsdk
SP50317,SBS13,SBS40,SBS40,SBS13,SBS40,False
SP52284,SBS5,SBS40,SBS5,SBS5,SBS40;SBS5,False
