rank,reconstructionError,averageSampleCosineSimilarity,copheneticCorrelation,averageSilhouette
2,7724.0609583042415,0.8767716516193674,0.47824603992117476,0.4843805899548361
3,6321.728323104729,0.8963137031340477,0.5998138037389622,0.359214874024016
4,4444.186624699719,0.9127083040736516,0.5124783828710202,0.02353933613877988
5,3121.807214681276,0.922156824788215,0.48097039822534154,0.07469389270622959
6,2612.368659849861,0.933718632213571,0.5441017601955142,0.08219620649752857
