threshold,meanActiveSignatures,meanReconstructionCosine,meanRmse
0,29.07894736842105,0.9956070226694111,0.0013797482271010713
0.01,17.394736842105264,0.9944998160263419,0.0016254528889898146
0.03,8.18421052631579,0.9806922430490917,0.003541141856854267
0.05,4.684210526315789,0.9565273932054476,0.005669269190547711
0.1,1.894736842105263,0.8958240330473727,0.01036732934071299
