signature,meanExposure,prevalence
SBS4,0.24041381712705046,0.5526315789473685
SBS40,0.07661619047583759,0.5526315789473685
SBS8,0.05761895958053122,0.5263157894736842
SBS2,0.05661769022949531,0.2894736842105263
SBS13,0.05524751879922204,0.3157894736842105
SBS18,0.04966508753929703,0.39473684210526316
SBS1,0.04922782442766179,0.3157894736842105
SBS39,0.04679730166864743,0.42105263157894735
SBS30,0.0300811927304954,0.15789473684210525
Other,0.3377144174217616,
