rank,foldCount,usableFoldCount,convergenceRate,meanHeldOutRelativeError,heldOutStandardError,meanHeldOutCosine,componentStabilityMedianCosine,sampleClusteringMeanARI,eligible
2,5,5,1,0.2152554221223529,0.04459143449255758,0.8725108448776187,0.9999774932377061,0.9184238280337642,true
3,5,5,1,0.19707749629429477,0.048142659657268744,0.8942927542496705,0.9968934664868891,0.53454757598232,true
4,5,5,1,0.1710554605458075,0.047638770856793584,0.9165443796730453,0.9454372923007255,0.43634651008646186,true
5,5,5,1,0.15943674941708486,0.04675757862058108,0.9256346549202803,0.9783074443070099,0.44076597729655226,true
6,5,5,1,0.1143188630293676,0.02159162705552451,0.9288647754352143,0.965549861377345,0.45491763132536844,true
7,5,5,1,0.09971366445105263,0.01933128915561877,0.9440836771633576,0.9539394469676727,0.5710373510303918,true
8,5,5,0.8,0.09525498274231685,0.019351209092169565,0.9749916869808144,0.9254627740683732,0.5842835105989359,true
