tool,browser_runtime,browser_runtime_version,local_runtime,local_runtime_version,browser_package_version,local_package_version,random_seed,tolerance_kind,max_abs_diff_tolerance,rmse_tolerance,sample_count,signature_count,mean_exposure_cosine,median_exposure_cosine,min_exposure_cosine,max_absolute_exposure_difference,rmse,top_signature_concordance,comparison_pass,status
sigminer,,,local:Rscript,R version 4.6.0 (2026-04-24 ucrt),,sigminer 2.3.1; nnls 1.6,104729,,,,300,78,,,,,,,true,local-only
sigprofilerassignment,,,local:python.exe,"3.13.5 | packaged by Anaconda, Inc. | (main, Jun 12 2025, 16:37:03) [MSC v.1929 64 bit (AMD64)]",,SigProfilerAssignment 1.1.3,104729,,,,300,78,,,,,,,true,local-only
musical,,,local:python.exe,"3.13.5 | packaged by Anaconda, Inc. | (main, Jun 12 2025, 16:37:03) [MSC v.1929 64 bit (AMD64)]",,MuSiCal 1.0.0,104729,,,,300,78,,,,,,,true,local-only
